# Export vaddrs, resolved to names.
#
# known_by = "measured"
# source = "12.40 libkernel_sys.sprx"
#
# Format: <name> <vaddr_hex>. Lines starting with '#' and blank lines are ignored.
#   vaddr  the export's offset within the module, measured from the file. A loader
#          reaches the function by adding it to the module's load base.
#   name   resolved from obscene's mined corpus (data/mined-names.txt) by the NID the
#          export table stores. 1644 of 1867 resolved; the rest keep their
#          encoded NID (hash#lib#mod), the honest statement that the name is not yet
#          known.
#
# Regenerate: obscene-tool vaddrs <module> --source "12.40 libkernel_sys.sprx"
#
sceKernelAllocateDirectMemoryForMiniApp 0x18fa0
sceKernelAllocateDirectMemoryForApp 0x18ed0
sceKernelAllocateMainDirectMemory 0x18e10
BJvWKKfmj4w#I#A 0x1be60
sceKernelAllocateToolMemory 0x1bda0
sceKernelAllocateTraceDirectMemory 0x1aad0
sceKernelAvailableDirectMemorySize 0x1a850
sceKernelAvailableFlexibleMemorySize 0x1a920
sceKernelAvailableFlexibleMemorySize 0x1a920
VU1YkdCmYto#I#A 0x1c780
sceKernelAvailableToolMemorySize 0x1c020
sceKernelBacktraceSelf 0x2bc20
sceKernelBatchMap 0x19940
sceKernelBatchMap2 0x199f0
sceKernelCancelEventFlag 0x2b740
sceKernelCancelSema 0x2b9e0
cvFtKaAYbHE#I#A 0x16d00
sceKernelCheckReachability 0x17c50
sceKernelCheckedReleaseDirectMemory 0x191a0
sceKernelChmod 0x16ef0
sceKernelClearBootReqNotifyCount 0x26750
sceKernelClearEventFlag 0x2b710
sceKernelClearGameDirectMemory 0x19b30
2+KZ4mZKp6E#I#A 0x29ff0
sceKernelClockGetres 0x160a0
sceKernelClockGettime 0x160d0
sceKernelClose 0x16e90
sceKernelCloseEport 0x2bac0
sceKernelCloseEventFlag 0x2b7b0
sceKernelCloseSema 0x2ba50
sceKernelConfiguredFlexibleMemorySize 0x1a9c0
E58GHGcQT7I#I#A 0x1c750
sceKernelConvertLocaltimeToUtc 0x166a0
sceKernelConvertUtcToLocaltime 0x165d0
sceKernelCreateEport 0x2ba80
sceKernelCreateEqueue 0x1db80
sceKernelCreateEventFlag 0x2b5c0
sceKernelCreateSema 0x2b8a0
sceKernelDebugAcquireAndUpdateDebugRegister 0x13640
sceKernelDebugGetAppStatus 0x2b400
sceKernelDebugGetPauseCount 0x2b480
sceKernelDebugGpuPaDebugIsInProgress 0x2b3b0
sceKernelDebugOutText 0x2b020
x0DQK0TXDk0#I#A 0x2b040
sceKernelDebugRaiseException 0x2afe0
sceKernelDebugRaiseException 0x2afe0
sceKernelDebugRaiseExceptionOnReleaseMode 0x2b000
sceKernelDebugRaiseExceptionWithInfo 0x2b310
wn0XzOue4EM#I#A 0x2b360
sceKernelDebugReleaseDebugContext 0x2b0d0
sceKernelDebugWriteCppExceptionInfo 0x2b4c0
sceKernelDeleteCpumodeEvent 0x1ec60
sceKernelDeleteEport 0x2ba90
sceKernelDeleteEqueue 0x1dc00
sceKernelDeleteEventFlag 0x2b610
sceKernelDeleteFileEvent 0x1e570
sceKernelDeleteGpuExceptionEvent 0x1ea50
sceKernelDeleteHRTimerEvent 0x1e030
sceKernelDeleteProcessFromCanvasMap 0x22fb0
sceKernelDeleteReadEvent 0x1e350
sceKernelDeleteSema 0x2b8f0
sceKernelDeleteTimerEvent 0x1df10
sceKernelDeleteUserEvent 0x1e6f0
sceKernelDeleteWriteEvent 0x1e460
lRD35KDvDzE#I#A 0x1e880
sceKernelDirectMemoryQuery 0x1a620
sceKernelDirectMemoryQueryForId 0x1a560
sceKernelDlsym 0x365c0
sceKernelEnableDmemAliasing 0x1af20
sceKernelEnableDmemAliasing 0x1af20
sceKernelEnableDmemAliasing2 0x1af50
sceKernelEnableDmemAliasing 0x1af50
RbhD-epf6c0#I#A 0x1af80
sceKernelEnableDmemAliasing 0x1af80
cafDxa64sO4#I#A 0x1af00
sceKernelEnablePthreadObjectCheck 0x3e150
sceKernelError 0x16260
sceKernelEventLogInit 0x28de0
sceKernelEventLogPread 0x28fd0
sceKernelEventLogRead 0x28f40
sceKernelEventLogWrite 0x28e00
q-2Uxlg-faU#I#A 0x37670
sceKernelWriteSdkEventLog 0x28fe0
sceKernelWriteSdkEventLogV 0x29130
sceKernelFchmod 0x178c0
sceKernelFcntl 0x17770
sceKernelFlock 0x17920
sceKernelFstat 0x17a10
sceKernelFsync 0x16f30
sceKernelFdatasync 0x16f60
sceKernelFtruncate 0x17c20
sceKernelFutimes 0x17a40
sceKernelGetAllowedSdkVersionOnSystem 0x1d7c0
sceKernelGetAppCategoryType 0x22e70
sceKernelGetAppInfo 0x229e0
sceKernelGetAppInfo2 0x22a70
-QipytgE4x0#I#A 0x232e0
vfYaxkxnJXQ#I#A 0x3c3d0
sceKernelGetAslrStatus 0x370d0
sceKernelGetBioUsageAll 0x164f0
sceKernelGetBackupRestoreMode 0x223a0
sceKernelGetBackupRestoreModeOfNextBoot 0x22410
sceKernelGetBasicProductShape 0x20b00
pp+G+UZhiqY#I#A 0x1ffa0
